module	source_id	source_fqcn	report_fqcn	discovered_test_nodes	runtime_deferred_containers	engine_ids	source_sha256	test_classes_sha256	main_classes_sha256
addons/foggy-chart-storage-cloud	v934-src|130:addons/foggy-chart-storage-cloud/src/test/java/com/foggyframework/dataset/mcp/storage/cloud/CloudStorageAutoConfigurationTest.java	com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	5	0	junit-jupiter	e065ec4f0d33f6a3e323cf1c7dbe42bb67864912147f527ef0d27e9cf949aa85	871e448ef774e049ff8e5b1cd29a5d10e6f3fe5ba1fccc15beb4d86cb1c5c371	3fb39cc21c561255cdbfca9e0bf758318e3b2adc049bf57f9d79a8906e2c0af5
addons/foggy-data-viewer	v934-src|119:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/config/DataViewerAutoConfigurationContextTest.java	com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	3	0	junit-jupiter	41cb7283496be9d409b815b10c4e596800c2dc918109bbd4cf4ce616db9c6c9d	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|112:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/config/DataViewerAutoConfigurationTest.java	com.foggyframework.dataviewer.config.DataViewerAutoConfigurationTest	com.foggyframework.dataviewer.config.DataViewerAutoConfigurationTest	3	0	junit-jupiter	f3160d5b5dc33cb487e91983c7d681610b5be7a46e7b9d2cf72aef801c537cf4	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|109:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ListPresetControllerTest.java	com.foggyframework.dataviewer.controller.ListPresetControllerTest	com.foggyframework.dataviewer.controller.ListPresetControllerTest	12	0	junit-jupiter	15c1b9ae02149c2eb8e72bbce78c1b2e6ef2819cb290fcd46a2bf16a5db9daf7	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|122:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/TableDefaultQueryConfigControllerTest.java	com.foggyframework.dataviewer.controller.TableDefaultQueryConfigControllerTest	com.foggyframework.dataviewer.controller.TableDefaultQueryConfigControllerTest	3	0	junit-jupiter	895f65a0f6d90354e7c7b4cd6318ce22a88e10978dda26799385567cc904cbc0	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	0	0	junit-jupiter	66ab311650f041cfc3be6deb0b0024a7414281877fa3741f75b5ff89f544d241	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$GetQueryMetaTests	2	0	junit-jupiter	66ab311650f041cfc3be6deb0b0024a7414281877fa3741f75b5ff89f544d241	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDataTests	9	0	junit-jupiter	66ab311650f041cfc3be6deb0b0024a7414281877fa3741f75b5ff89f544d241	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDirectTests	7	0	junit-jupiter	66ab311650f041cfc3be6deb0b0024a7414281877fa3741f75b5ff89f544d241	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
addons/foggy-data-viewer	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryMembersTests	1	0	junit-jupiter	66ab311650f041cfc3be6deb0b0024a7414281877fa3741f75b5ff89f544d241	36fcca1dbcc2d1637720781a61ca3458b58c8659461456b461c71b759edf74e9	e98e1e0fbd11a5a2c7d97224b478b1418c3182c77d9f77bd62074f88780638dd
