execution_key	source_id	report_fqcn	runner	lane	variant_key	db_kind	infra_kind	execution_step	required	owner	optional_reason	review_at
v934|8:surefire|4:unit|4:unit|78:com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	v934-src|130:addons/foggy-chart-storage-cloud/src/test/java/com/foggyframework/dataset/mcp/storage/cloud/CloudStorageAutoConfigurationTest.java	com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	surefire	unit	unit	none	hermetic	2	true	addons/foggy-chart-storage-cloud	none	none
v934|8:surefire|4:unit|4:unit|75:com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	v934-src|119:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/config/DataViewerAutoConfigurationContextTest.java	com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|68:com.foggyframework.dataviewer.config.DataViewerAutoConfigurationTest	v934-src|112:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/config/DataViewerAutoConfigurationTest.java	com.foggyframework.dataviewer.config.DataViewerAutoConfigurationTest	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|65:com.foggyframework.dataviewer.controller.ListPresetControllerTest	v934-src|109:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ListPresetControllerTest.java	com.foggyframework.dataviewer.controller.ListPresetControllerTest	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|78:com.foggyframework.dataviewer.controller.TableDefaultQueryConfigControllerTest	v934-src|122:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/TableDefaultQueryConfigControllerTest.java	com.foggyframework.dataviewer.controller.TableDefaultQueryConfigControllerTest	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|64:com.foggyframework.dataviewer.controller.ViewerApiControllerTest	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$GetQueryMetaTests	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$GetQueryMetaTests	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|79:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDataTests	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDataTests	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDirectTests	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDirectTests	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryMembersTests	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryMembersTests	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|54:com.foggyframework.dataviewer.mcp.OpenInViewerToolTest	v934-src|98:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/mcp/OpenInViewerToolTest.java	com.foggyframework.dataviewer.mcp.OpenInViewerToolTest	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
v934|8:surefire|4:unit|4:unit|69:com.foggyframework.dataviewer.mcp.OpenInViewerToolTest$ExecutionTests	v934-src|98:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/mcp/OpenInViewerToolTest.java	com.foggyframework.dataviewer.mcp.OpenInViewerToolTest$ExecutionTests	surefire	unit	unit	none	hermetic	2	true	addons/foggy-data-viewer	none	none
