probe	expected_error	actual_error	status
orphan-source	E_SOURCE_SET	E_SOURCE_SET	passed
missing-source-owner	E_SOURCE_OWNER	E_SOURCE_OWNER	passed
missing-source-reason	E_SOURCE_REASON	E_SOURCE_REASON	passed
nonreactor-disposition	E_SOURCE_DISPOSITION	E_SOURCE_DISPOSITION	passed
zero-execution-owner	E_EXEC_ZERO	E_EXEC_ZERO	passed
duplicate-execution-key	E_EXEC_KEY_DUP	E_EXEC_KEY_DUP	passed
non-executable-owner	E_NONEXEC_EXEC	E_NONEXEC_EXEC	passed
runner-overlap	E_RUNNER_OVERLAP	E_RUNNER_OVERLAP	passed
sqlite-lane-overlap	E_SQLITE_OVERLAP	E_SQLITE_OVERLAP	passed
missing-report-owner	E_REPORT_MISSING	E_REPORT_MISSING	passed
unexpected-report-owner	E_REPORT_UNEXPECTED	E_REPORT_UNEXPECTED	passed
invalid-step	E_EXEC_STEP	E_EXEC_STEP	passed
optional-metadata	E_OPTIONAL_METADATA	E_OPTIONAL_METADATA	passed
unknown-successor	E_MIGRATION_SUCCESSOR	E_MIGRATION_SUCCESSOR	passed
migration-cardinality	E_MIGRATION_CARDINALITY	E_MIGRATION_CARDINALITY	passed
duplicate-migration-edge	E_MIGRATION_EDGE_DUP	E_MIGRATION_EDGE_DUP	passed
unmapped-predecessor	E_MIGRATION_UNMAPPED	E_MIGRATION_UNMAPPED	passed
invalid-classpath-hash	E_CLASSPATH_HASH	E_CLASSPATH_HASH	passed
classpath-module-gap	E_CLASSPATH_MODULE_SET	E_CLASSPATH_MODULE_SET	passed
duplicate-maven-variant	E_MAVEN_VARIANT	E_MAVEN_VARIANT	passed
orphan-discovery-row	E_DISCOVERY_ORPHAN	E_DISCOVERY_ORPHAN	passed
missing-discovery-row	E_DISCOVERY_MISSING	E_DISCOVERY_MISSING	passed
tampered-discovery-hash	E_DISCOVERY_HASH	E_DISCOVERY_HASH	passed
tampered-rename-successor	E_RENAME_PLAN	E_RENAME_PLAN	passed
tampered-successor-policy	E_FREEZE_SUCCESSOR	E_FREEZE_SUCCESSOR	passed
freeze-count-tamper	E_FREEZE_COUNTS	E_FREEZE_COUNTS	passed
missing-hash-entry	E_HASH_SET	E_HASH_SET	passed
stale-manifest	E_STALE_HASH	E_STALE_HASH	passed
