predecessor_node	criterion	historical_lane	variant_key	report_fqcn	raw_report_sha256	authority_run_id
v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|71:com.foggyframework.runtime.api.RuntimeCapabilitiesControllerEnabledTest	API_COMPAT	api-compat	unit	com.foggyframework.runtime.api.RuntimeCapabilitiesControllerEnabledTest	227877d5ef5da42b0eb55abb0a222698c9b18876f36bbf7a162f8fc55904de86	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|82:com.foggyframework.runtime.api.controller.RuntimeModelsControllerCompatibilityTest	API_COMPAT	api-compat	unit	com.foggyframework.runtime.api.controller.RuntimeModelsControllerCompatibilityTest	7a5781edeb4be4ea36e1b63a0f8acc952852d12fb44e042760ccc150295000b7	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|66:com.foggyframework.runtime.api.dto.RuntimeLifecycleDtoContractTest	API_COMPAT	api-compat	unit	com.foggyframework.runtime.api.dto.RuntimeLifecycleDtoContractTest	8ecf4968cfced5063e1c80d1e68b06a591a5952454225353156a1dcea9e2d1b7	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|69:com.foggyframework.runtime.api.dto.RuntimeLifecycleSafetyContractTest	API_COMPAT	api-compat	unit	com.foggyframework.runtime.api.dto.RuntimeLifecycleSafetyContractTest	cbc6b6a5939d47d247bbdf66f79aab2f3c262213b8c808ad612ffbd37f77c041	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|64:com.foggyframework.runtime.api.dto.RuntimeLifecycleSanitizerTest	API_COMPAT	api-compat	unit	com.foggyframework.runtime.api.dto.RuntimeLifecycleSanitizerTest	975b943e476d1ae477343f7bf7d52d5fd68b5267c2510d892b73f8478b33d93b	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|71:com.foggyframework.runtime.api.service.RuntimeLifecycleErrorMappingTest	API_COMPAT	api-compat	unit	com.foggyframework.runtime.api.service.RuntimeLifecycleErrorMappingTest	dfd875f4993b1d464995d57de9ac567a7e918424ca64d650ac8e85f1fe593f16	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|84:com.foggyframework.dataset.db.model.config.GlobalNamespaceFallbackRiskDiagnosticTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	com.foggyframework.dataset.db.model.config.GlobalNamespaceFallbackRiskDiagnosticTest	23892d06198207713b7d426527c86775d266eedbb6b00657f3ab6549e7ff190d	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|68:com.foggyframework.dataset.graphql.GraphqlAddonAutoConfigurationTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	com.foggyframework.dataset.graphql.GraphqlAddonAutoConfigurationTest	e7324e29ae5307416086212a03ab4cd3729e0ebca0693b06631e39529b497541	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|78:com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	9728e2db82e0f25364713194e27b4c783f1c448802c69889a1f039b43f2f31c9	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|75:com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	a98b175d64ce0e88397c62929787d894c786be20291eebeaecc640471f80038c	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|64:io.foggytest.autoconfigure.AutoConfigurationBoundaryContractTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	io.foggytest.autoconfigure.AutoConfigurationBoundaryContractTest	4810acca5669bec3f0b5ed8e62a75d12da1a6203f9a05e1558a6e0f44c61da52	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|70:io.foggytest.autoconfigure.AutoConfigurationRegistrationUniquenessTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	io.foggytest.autoconfigure.AutoConfigurationRegistrationUniquenessTest	24ec02d98a0e56929eb8f8e57571ad152361b32992230d41480d803860ded555	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|65:io.foggytest.autoconfigure.FullAddonAutoConfigurationAssemblyTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	io.foggytest.autoconfigure.FullAddonAutoConfigurationAssemblyTest	cdd4da5c7ef71a8f594d61de9618670370c81c476442b7efbb4f9133ab39d1e9	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|71:io.foggytest.autoconfigure.OutsidePackageCoreAutoConfigurationSmokeTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	io.foggytest.autoconfigure.OutsidePackageCoreAutoConfigurationSmokeTest	65ffcc814a5b2cb7517777c4dd53fa373ae1b1e23abcd1d22f2f1f2707474742	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|71:io.foggytest.autoconfigure.cache.QueryCacheAutoConfigurationContextTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	io.foggytest.autoconfigure.cache.QueryCacheAutoConfigurationContextTest	d695d037b7da44881db45f262719bbfed21b53534a71e84c830aeb8f5f3839c9	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|77:io.foggytest.autoconfigure.modelmongo.MongoModelAutoConfigurationContractTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	io.foggytest.autoconfigure.modelmongo.MongoModelAutoConfigurationContractTest	1f4588cdf4eb26595b659a607ba7c89332eba03285ccbb6c2d5eb45bc3c3e520	20260714T084351Z-3271604
v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|79:io.foggytest.autoconfigure.modelvector.VectorModelAutoConfigurationContractTest	AUTOCONFIG_LAUNCHER	autoconfig-launcher	unit	io.foggytest.autoconfigure.modelvector.VectorModelAutoConfigurationContractTest	1ae1a026007315b527b46520afdc161d51b631016587454e29faa6994b9d62e9	20260714T084351Z-3271604
