mapping_group	relation	declared_old_count	declared_successor_count	criterion	predecessor_node	successor_execution_key	disposition	rationale	owner	reviewer
v934-map-88641e6bc82250bbdc20	1:1	1	1	API_COMPAT	v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|71:com.foggyframework.runtime.api.RuntimeCapabilitiesControllerEnabledTest	v934|8:surefire|4:unit|4:unit|71:com.foggyframework.runtime.api.RuntimeCapabilitiesControllerEnabledTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-runtime-api	v934-step1-independent-review
v934-map-959a6811a546f676ad5e	1:1	1	1	API_COMPAT	v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|82:com.foggyframework.runtime.api.controller.RuntimeModelsControllerCompatibilityTest	v934|8:surefire|4:unit|4:unit|82:com.foggyframework.runtime.api.controller.RuntimeModelsControllerCompatibilityTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-runtime-api	v934-step1-independent-review
v934-map-63f3f1d6688abfc6ef63	1:1	1	1	API_COMPAT	v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|66:com.foggyframework.runtime.api.dto.RuntimeLifecycleDtoContractTest	v934|8:surefire|4:unit|4:unit|66:com.foggyframework.runtime.api.dto.RuntimeLifecycleDtoContractTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-runtime-api	v934-step1-independent-review
v934-map-d465c9160b63366ea442	1:1	1	1	API_COMPAT	v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|69:com.foggyframework.runtime.api.dto.RuntimeLifecycleSafetyContractTest	v934|8:surefire|4:unit|4:unit|69:com.foggyframework.runtime.api.dto.RuntimeLifecycleSafetyContractTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-runtime-api	v934-step1-independent-review
v934-map-b5d3c0edcb888a03b2e4	1:1	1	1	API_COMPAT	v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|64:com.foggyframework.runtime.api.dto.RuntimeLifecycleSanitizerTest	v934|8:surefire|4:unit|4:unit|64:com.foggyframework.runtime.api.dto.RuntimeLifecycleSanitizerTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-runtime-api	v934-step1-independent-review
v934-map-8ac1f9ac124770ed4d61	1:1	1	1	API_COMPAT	v933-node|24:20260714T084351Z-3271604|10:api-compat|4:unit|71:com.foggyframework.runtime.api.service.RuntimeLifecycleErrorMappingTest	v934|8:surefire|4:unit|4:unit|71:com.foggyframework.runtime.api.service.RuntimeLifecycleErrorMappingTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-runtime-api	v934-step1-independent-review
v934-map-6114e7aac40b8462e91b	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|84:com.foggyframework.dataset.db.model.config.GlobalNamespaceFallbackRiskDiagnosticTest	v934|8:surefire|4:unit|4:unit|84:com.foggyframework.dataset.db.model.config.GlobalNamespaceFallbackRiskDiagnosticTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-dataset-model	v934-step1-independent-review
v934-map-ad3f0e1af07a7e67e5ce	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|68:com.foggyframework.dataset.graphql.GraphqlAddonAutoConfigurationTest	v934|8:surefire|4:unit|4:unit|68:com.foggyframework.dataset.graphql.GraphqlAddonAutoConfigurationTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-dataset-graphql	v934-step1-independent-review
v934-map-72b5b5cdec8b31920058	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|78:com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	v934|8:surefire|4:unit|4:unit|78:com.foggyframework.dataset.mcp.storage.cloud.CloudStorageAutoConfigurationTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-chart-storage-cloud	v934-step1-independent-review
v934-map-756df2f9001b016483a8	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|75:com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	v934|8:surefire|4:unit|4:unit|75:com.foggyframework.dataviewer.config.DataViewerAutoConfigurationContextTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-data-viewer	v934-step1-independent-review
v934-map-a0c492481298e78b7677	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|64:io.foggytest.autoconfigure.AutoConfigurationBoundaryContractTest	v934|8:surefire|4:unit|4:unit|64:io.foggytest.autoconfigure.AutoConfigurationBoundaryContractTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-mcp-launcher	v934-step1-independent-review
v934-map-9de44091e70a7bfef4ef	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|70:io.foggytest.autoconfigure.AutoConfigurationRegistrationUniquenessTest	v934|8:surefire|4:unit|4:unit|70:io.foggytest.autoconfigure.AutoConfigurationRegistrationUniquenessTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-mcp-launcher	v934-step1-independent-review
v934-map-b0deaad647a88b364714	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|65:io.foggytest.autoconfigure.FullAddonAutoConfigurationAssemblyTest	v934|8:surefire|4:unit|4:unit|65:io.foggytest.autoconfigure.FullAddonAutoConfigurationAssemblyTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-mcp-launcher	v934-step1-independent-review
v934-map-6f6a5bf1a93a08b10db8	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|71:io.foggytest.autoconfigure.OutsidePackageCoreAutoConfigurationSmokeTest	v934|8:surefire|4:unit|4:unit|71:io.foggytest.autoconfigure.OutsidePackageCoreAutoConfigurationSmokeTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-mcp-launcher	v934-step1-independent-review
v934-map-71d0c0fbe33b739311c1	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|71:io.foggytest.autoconfigure.cache.QueryCacheAutoConfigurationContextTest	v934|8:surefire|4:unit|4:unit|71:io.foggytest.autoconfigure.cache.QueryCacheAutoConfigurationContextTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-dataset-model-cache	v934-step1-independent-review
v934-map-3e819941e70f227077fe	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|77:io.foggytest.autoconfigure.modelmongo.MongoModelAutoConfigurationContractTest	v934|8:surefire|4:unit|4:unit|77:io.foggytest.autoconfigure.modelmongo.MongoModelAutoConfigurationContractTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-dataset-model-mongo	v934-step1-independent-review
v934-map-00b4d8c811787001125a	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|79:io.foggytest.autoconfigure.modelvector.VectorModelAutoConfigurationContractTest	v934|8:surefire|4:unit|4:unit|79:io.foggytest.autoconfigure.modelvector.VectorModelAutoConfigurationContractTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-dataset-model-vector	v934-step1-independent-review
v934-map-7c30dfda867f77de32ee	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|73:io.foggytest.autoconfigure.mongo.DataSetMongoAutoConfigurationContextTest	v934|8:surefire|4:unit|4:unit|73:io.foggytest.autoconfigure.mongo.DataSetMongoAutoConfigurationContextTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-dataset-mongo	v934-step1-independent-review
v934-map-c936e354f4ca982eaed3	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|75:io.foggytest.autoconfigure.vector.DataSetVectorAutoConfigurationContextTest	v934|8:surefire|4:unit|4:unit|75:io.foggytest.autoconfigure.vector.DataSetVectorAutoConfigurationContextTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	addons/foggy-dataset-vector	v934-step1-independent-review
v934-map-6d6c2c253a56c07fd60f	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|60:io.foggytest.launcher.LauncherDefaultRouteIsolationSmokeTest	v934|8:surefire|4:unit|4:unit|60:io.foggytest.launcher.LauncherDefaultRouteIsolationSmokeTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-mcp-launcher	v934-step1-independent-review
v934-map-535e235d31ac2ad2a81e	1:1	1	1	AUTOCONFIG_LAUNCHER	v933-node|24:20260714T084351Z-3271604|19:autoconfig-launcher|4:unit|57:io.foggytest.launcher.LauncherExplicitTestRoutesSmokeTest	v934|8:surefire|4:unit|4:unit|57:io.foggytest.launcher.LauncherExplicitTestRoutesSmokeTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-mcp-launcher	v934-step1-independent-review
v934-map-3273e6ff83ba360887a1	1:1	1	1	BINDING_PUBLICATION_LOCK	v933-node|24:20260714T084351Z-3271604|24:binding-publication-lock|4:unit|76:com.foggyframework.runtime.api.service.RuntimeDatasourceBindingLifecycleTest	v934|8:surefire|4:unit|4:unit|76:com.foggyframework.runtime.api.service.RuntimeDatasourceBindingLifecycleTest	current-source-successor	same report owner retained under the reviewed v934 runner/variant split	foggy-runtime-api	v934-step1-independent-review
