execution_key	source_id	report_fqcn	runner	lane	variant_key	db_kind	infra_kind	execution_step	required	owner	optional_reason	review_at	disposition
v934|8:failsafe|12:external-llm|11:mysql57-llm|59:com.foggyframework.dataset.mcp.ai.AiToolsIT$AiModelCallTest	v934-src|80:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/ai/AiToolsIT.java	com.foggyframework.dataset.mcp.ai.AiToolsIT$AiModelCallTest	failsafe	external-llm	mysql57-llm	mysql57	llm	3	false	foggy-dataset-mcp	third-party model quality is non-deterministic and not the required direct-tool correctness contract	2026-08-31	deferred-to-step3
v934|8:failsafe|14:external-mongo|6:mongo6|60:com.foggyframework.dataset.db.model.mongo.McpAuditLogMongoIT	v934-src|112:addons/foggy-dataset-model-mongo/src/test/java/com/foggyframework/dataset/db/model/mongo/McpAuditLogMongoIT.java	com.foggyframework.dataset.db.model.mongo.McpAuditLogMongoIT	failsafe	external-mongo	mongo6	none	mongodb	3	true	addons/foggy-dataset-model-mongo	none	none	deferred-to-step3
v934|8:failsafe|14:external-mongo|6:mongo6|64:com.foggyframework.dataset.db.model.mongo.MongoCalculatedFieldIT	v934-src|116:addons/foggy-dataset-model-mongo/src/test/java/com/foggyframework/dataset/db/model/mongo/MongoCalculatedFieldIT.java	com.foggyframework.dataset.db.model.mongo.MongoCalculatedFieldIT	failsafe	external-mongo	mongo6	none	mongodb	3	true	addons/foggy-dataset-model-mongo	none	none	deferred-to-step3
v934|8:failsafe|14:external-mongo|6:mongo6|67:com.foggyframework.dataset.db.model.mongo.MongoArrayElementAccessIT	v934-src|119:addons/foggy-dataset-model-mongo/src/test/java/com/foggyframework/dataset/db/model/mongo/MongoArrayElementAccessIT.java	com.foggyframework.dataset.db.model.mongo.MongoArrayElementAccessIT	failsafe	external-mongo	mongo6	none	mongodb	3	true	addons/foggy-dataset-model-mongo	none	none	deferred-to-step3
v934|8:failsafe|14:external-mongo|6:mongo6|71:com.foggyframework.dataviewer.service.listpreset.MongoListPresetStoreIT	v934-src|115:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/service/listpreset/MongoListPresetStoreIT.java	com.foggyframework.dataviewer.service.listpreset.MongoListPresetStoreIT	failsafe	external-mongo	mongo6	none	mongodb	3	true	addons/foggy-data-viewer	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|11:mysql57-mcp|53:com.foggyframework.dataset.mcp.integration.McpToolsIT	v934-src|90:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/McpToolsIT.java	com.foggyframework.dataset.mcp.integration.McpToolsIT	failsafe	external-mysql	mysql57-mcp	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|11:mysql57-mcp|74:com.foggyframework.dataset.mcp.integration.McpToolsIT$EndToEndScenarioTest	v934-src|90:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/McpToolsIT.java	com.foggyframework.dataset.mcp.integration.McpToolsIT$EndToEndScenarioTest	failsafe	external-mysql	mysql57-mcp	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|11:mysql57-mcp|81:com.foggyframework.dataset.mcp.integration.McpToolsIT$MetadataToolIntegrationTest	v934-src|90:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/McpToolsIT.java	com.foggyframework.dataset.mcp.integration.McpToolsIT$MetadataToolIntegrationTest	failsafe	external-mysql	mysql57-mcp	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|11:mysql57-mcp|83:com.foggyframework.dataset.mcp.integration.McpToolsIT$QueryModelToolIntegrationTest	v934-src|90:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/McpToolsIT.java	com.foggyframework.dataset.mcp.integration.McpToolsIT$QueryModelToolIntegrationTest	failsafe	external-mysql	mysql57-mcp	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|11:mysql57-mcp|89:com.foggyframework.dataset.mcp.integration.McpToolsIT$DescriptionModelToolIntegrationTest	v934-src|90:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/McpToolsIT.java	com.foggyframework.dataset.mcp.integration.McpToolsIT$DescriptionModelToolIntegrationTest	failsafe	external-mysql	mysql57-mcp	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|14:mysql57-direct|43:com.foggyframework.dataset.mcp.ai.AiToolsIT	v934-src|80:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/ai/AiToolsIT.java	com.foggyframework.dataset.mcp.ai.AiToolsIT	failsafe	external-mysql	mysql57-direct	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|14:mysql57-direct|62:com.foggyframework.dataset.mcp.ai.AiToolsIT$DirectToolCallTest	v934-src|80:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/ai/AiToolsIT.java	com.foggyframework.dataset.mcp.ai.AiToolsIT$DirectToolCallTest	failsafe	external-mysql	mysql57-direct	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-mysql|15:mysql57-compose|62:com.foggyframework.dataset.mcp.integration.ComposeScriptToolIT	v934-src|99:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/ComposeScriptToolIT.java	com.foggyframework.dataset.mcp.integration.ComposeScriptToolIT	failsafe	external-mysql	mysql57-compose	mysql57	database	3	true	foggy-dataset-mcp	none	none	deferred-to-step3
v934|8:failsafe|14:external-redis|13:redis7-sqlite|92:com.foggyframework.dataset.db.model.cache.lifecycle.realquery.QueryCacheLifecycleRealQueryIT	v934-src|144:addons/foggy-dataset-model-cache/src/test/java/com/foggyframework/dataset/db/model/cache/lifecycle/realquery/QueryCacheLifecycleRealQueryIT.java	com.foggyframework.dataset.db.model.cache.lifecycle.realquery.QueryCacheLifecycleRealQueryIT	failsafe	external-redis	redis7-sqlite	sqlite	redis	3	true	addons/foggy-dataset-model-cache	none	none	deferred-to-step3
v934|8:failsafe|14:external-redis|6:redis7|71:com.foggyframework.dataset.db.model.cache.provider.RedisCrossJvmCacheIT	v934-src|123:addons/foggy-dataset-model-cache/src/test/java/com/foggyframework/dataset/db/model/cache/provider/RedisCrossJvmCacheIT.java	com.foggyframework.dataset.db.model.cache.provider.RedisCrossJvmCacheIT	failsafe	external-redis	redis7	none	redis	3	true	addons/foggy-dataset-model-cache	none	none	deferred-to-step3
v934|8:failsafe|15:external-vector|18:milvus24-embedding|51:com.foggyframework.dataset.db.model.vector.VectorIT	v934-src|104:addons/foggy-dataset-model-vector/src/test/java/com/foggyframework/dataset/db/model/vector/VectorIT.java	com.foggyframework.dataset.db.model.vector.VectorIT	failsafe	external-vector	milvus24-embedding	none	vector	3	true	addons/foggy-dataset-model-vector	none	none	deferred-to-step3
v934|8:failsafe|15:external-vector|18:milvus24-embedding|59:com.foggyframework.dataset.vector.integration.VectorStoreIT	v934-src|106:addons/foggy-dataset-vector/src/test/java/com/foggyframework/dataset/vector/integration/VectorStoreIT.java	com.foggyframework.dataset.vector.integration.VectorStoreIT	failsafe	external-vector	milvus24-embedding	none	vector	3	true	addons/foggy-dataset-vector	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|66:com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	v934-src|105:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/multidb/MultiDatabaseQueryTest.java	com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|78:com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/gate/RequiredDatabasePreflightIT.java	com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|80:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
