probe	expected_error	actual_error	status
orphan-source	E_SOURCE_SET	E_SOURCE_SET	passed
old-discovery-report	E_DISCOVERY_DELTA	E_DISCOVERY_DELTA	passed
execution-semantic-drift	E_EXEC_DELTA	E_EXEC_DELTA	passed
structural-report-drift	E_STRUCTURAL_REPORT	E_STRUCTURAL_REPORT	passed
migration-successor-drift	E_MIGRATION_DELTA	E_MIGRATION_DELTA	passed
typed-migration-ref-drift	E_MIGRATION_DELTA	E_MIGRATION_DELTA	passed
deferred-gap	E_DEFERRED_SET	E_DEFERRED_SET	passed
parent-manifest-drift	E_PARENT_LINK	E_PARENT_LINK	passed
rename-delta-drift	E_RENAME_DELTA	E_RENAME_DELTA	passed
corrective-plan-digest-drift	E_PARENT_LINK	E_PARENT_LINK	passed
test-source-amendment-drift	E_PARENT_LINK	E_PARENT_LINK	passed
r5-source-amendment-drift	E_PARENT_LINK	E_PARENT_LINK	passed
r6-source-amendment-drift	E_PARENT_LINK	E_PARENT_LINK	passed
r7-runner-amendment-drift	E_PARENT_LINK	E_PARENT_LINK	passed
r8-authority-amendment-drift	E_PARENT_LINK	E_PARENT_LINK	passed
runner-contract-drift	E_POM_CONTRACT	E_POM_CONTRACT	passed
failsafe-selector-override-drift	E_POM_CONTRACT	E_POM_CONTRACT	passed
surefire-fail-if-no-tests-default-drift	E_POM_CONTRACT	E_POM_CONTRACT	passed
failsafe-fail-if-no-tests-default-drift	E_POM_CONTRACT	E_POM_CONTRACT	passed
authority-lock-contract-drift	E_AUTHORITY_LOCK	E_AUTHORITY_LOCK	passed
authority-signal-contract-drift	E_AUTHORITY_LOCK	E_AUTHORITY_LOCK	passed
publish-cas-contract-drift	E_PUBLISH_CAS	E_PUBLISH_CAS	passed
report-schema-drift	E_REPORT_CONTRACT	E_REPORT_CONTRACT	passed
report-context-drift	E_REPORT_CONTRACT	E_REPORT_CONTRACT	passed
report-cardinality-drift	E_REPORT_CONTRACT	E_REPORT_CONTRACT	passed
nested-it-exclude-drift	E_POM_CONTRACT	E_POM_CONTRACT	passed
classpath-identity-drift	E_CLASSPATH_DELTA	E_CLASSPATH_DELTA	passed
classpath-amended-content-drift	E_CLASSPATH_DELTA	E_CLASSPATH_DELTA	passed
protected-source-hash-drift	E_SOURCE_HASH	E_SOURCE_HASH	passed
freeze-count-drift	E_FREEZE_COUNTS	E_FREEZE_COUNTS	passed
extra-successor-file	E_HASH_SET	E_HASH_SET	passed
missing-hash-entry	E_HASH_SET	E_HASH_SET	passed
stale-manifest	E_STALE_HASH	E_STALE_HASH	passed
